tree_id,trunk_diam,status,health,spc_common,neighborhood
588427,10,Alive,Good,Callery pear,QN34
532667,13,Alive,Fair,Callery pear,Great Kills
579792,16,Alive,Fair,Norway maple,QN76
313910,18,Alive,Good,red maple,Great Kills
692321,4,Alive,Good,cherry,Canarsie
616858,13,Alive,Good,London planetree,Glen Oaks-Floral Park-New Hyde Park
196163,16,Alive,Good,honeylocust,Bensonhurst East
14020,11,Alive,Good,Callery pear,Washington Heights North
401585,3,Alive,Fair,eastern redbud,Westchester-Unionport
316532,25,Alive,Fair,Norway maple,Queens Village
222333,17,Alive,Good,honeylocust,Woodlawn-Wakefield
657619,25,Alive,Good,London planetree,Georgetown-Marine Park-Bergen Beach-Mill Basin
568400,2,Alive,Poor,cherry,BK95
142635,8,Alive,Poor,littleleaf linden,Spuyten Duyvil-Kingsbridge
172179,8,Alive,Good,ginkgo,Lower East Side
72432,4,Alive,Fair,Callery pear,South Jamaica
390222,3,Alive,Good,cherry,Richmond Hill
19572,11,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville
123553,7,Alive,Good,cherry,Upper East Side-Carnegie Hill
381015,11,Alive,Good,honeylocust,Arden Heights
269401,7,Alive,Fair,littleleaf linden,East Harlem North
394316,21,Alive,Good,honeylocust,QN47
271473,7,Alive,Good,red maple,Rossville-Woodrow
190348,7,Alive,Good,American linden,Upper East Side-Carnegie Hill
514657,31,Alive,Good,London planetree,Maspeth
481013,7,Alive,Good,Cornelian cherry,New Springville-Bloomfield-Travis
529594,7,Alive,Good,Callery pear,Hammels-Arverne-Edgemere
457856,11,Alive,Good,Norway maple,Fort Greene
314845,8,Alive,Good,honeylocust,Crown Heights North
593072,26,Alive,Good,Schumard's oak,21
161587,3,Alive,Good,Callery pear,Todt Hill-Emerson Hill-Heartland Village-Lighthous
684006,23,Alive,Good,London planetree,Flatlands
678682,16,Alive,Good,London planetree,Georgetown-Marine Park-Bergen Beach-Mill Basin
717087,4,Alive,Good,golden raintree,Jamaica
